Date,Action,Price,Shares,Transaction_Fee,Cash,Portfolio_Value
2023-06-28,BUY,1154.708251953125,86,49.65245483398438,645.4378771972656,99950.34754516602
2023-07-03,SELL,1194.0582275390625,86,51.344503784179686,103283.10094177247,103283.10094177247
2023-07-07,BUY,1202.2296142578125,85,51.09475860595703,1042.4889712524514,103232.00618316651
2023-07-10,SELL,1248.5411376953125,85,53.06299835205078,107115.42267700196,107115.42267700196
2023-10-05,BUY,1148.549072265625,93,53.40753186035156,246.95142443848297,107062.0151451416
2023-10-10,SELL,1145.719970703125,93,53.27597863769531,106745.6327211914,106745.6327211914
2023-11-15,BUY,1169.5684814453125,91,53.21536590576172,261.6855437622039,106692.41735528564
2023-11-17,SELL,1169.121826171875,91,53.19504309082031,106598.576682312,106598.576682312
2023-11-20,BUY,1166.044677734375,91,53.055032836914066,435.45597564696754,106545.5216494751
2023-11-22,SELL,1185.326904296875,91,53.932374145507815,108246.27189251709,108246.27189251709
2023-12-11,BUY,1220.6405029296875,88,53.70818212890625,776.1994525756858,108192.56371038819
2023-12-13,SELL,1208.03369140625,88,53.153482421875005,107030.01081390382,107030.01081390382
2025-03-03,BUY,1166.5906982421875,91,53.07987677001953,817.1773970947382,106976.9309371338
2025-03-04,SELL,1157.2779541015625,91,52.65614691162109,106076.8150734253,106076.8150734253
2025-04-07,BUY,1161.062744140625,91,52.82835485839844,367.27700177002606,106023.9867185669
2025-04-08,SELL,1177.4971923828125,91,53.57612225341797,107465.94538635254,107465.94538635254
