Date,Action,Price,Shares,Transaction_Fee,Cash,Portfolio_Value
2023-06-28,BUY,2939.291259765625,34,49.96795141601562,14.129216552734377,99950.03204858399
2023-06-30,SELL,3018.636474609375,34,51.31682006835938,102596.45253320313,102596.45253320313
2023-07-03,BUY,2991.258544921875,34,50.851395263671876,842.8106105957116,102545.60113793946
2023-07-05,SELL,3034.816650390625,34,51.591883056640626,103974.98484082033,103974.98484082033
2023-07-07,BUY,3043.317626953125,34,51.736399658203126,450.44912475587205,103923.24844116213
2023-07-12,SELL,2979.923583984375,34,50.65870092773438,101717.1922792969,101717.1922792969
2023-07-13,BUY,3053.647216796875,33,50.385179077148436,896.4489459228746,101666.80710021975
2023-07-17,SELL,3191.815673828125,33,52.664958618164064,106173.70122363284,106173.70122363284
2023-07-21,BUY,3087.020751953125,34,52.479352783203126,1162.5163044433916,106121.22187084964
2023-07-25,SELL,3115.294189453125,34,52.96000122070313,107029.55874462893,107029.55874462893
2023-08-21,BUY,3117.58544921875,34,52.99895263671875,978.6545185547095,106976.55979199221
2023-08-22,SELL,3099.7138671875,34,52.6951357421875,106316.23086718752,106316.23086718752
2023-08-29,BUY,3094.215087890625,34,52.60165649414063,1060.316222412131,106263.62921069338
2023-08-30,SELL,3107.779052734375,34,52.83224389648438,106671.9717714844,106671.9717714844
2023-09-05,BUY,3142.97265625,33,51.859048828125005,2902.0150664062758,106620.11272265628
2023-09-07,SELL,3166.70947265625,33,52.25070629882813,107351.1769577637,107351.1769577637
2023-09-08,BUY,3154.474365234375,34,53.626064208984374,45.422475585968,107297.55089355471
2023-09-20,SELL,3304.91650390625,34,56.18358056640625,112356.40002783206,112356.40002783206
2023-09-21,BUY,3285.8994140625,34,55.8602900390625,579.9596596679975,112300.53973779299
2023-10-03,SELL,3220.416015625,34,54.747072265625,110019.35711865236,110019.35711865236
2023-10-06,BUY,3318.984619140625,33,54.76324621582032,438.1014407959169,109964.59387243654
2023-10-11,SELL,3308.44482421875,33,54.589339599609374,109562.19130041506,109562.19130041506
2023-10-12,BUY,3246.718994140625,33,53.57086340332032,2366.8936303711102,109508.62043701173
2023-10-13,SELL,3272.65625,33,53.998828125,110310.55105224611,110310.55105224611
2023-10-16,BUY,3229.763916015625,34,54.905986572265626,443.67192114259615,110255.64506567385
2023-10-18,SELL,3196.037353515625,34,54.332635009765625,109054.60930566408,109054.60930566408
2023-10-19,BUY,3175.2705078125,34,53.979598632812504,1041.4324414062696,109000.62970703127
2023-10-20,SELL,3211.0146484375,34,54.5872490234375,110161.34323925784,110161.34323925784
2023-10-23,BUY,3133.462646484375,35,54.835596313476564,435.31501599123817,110106.50764294436
2023-10-26,SELL,3066.01806640625,35,53.65531616210938,107692.29202404787,107692.29202404787
2023-10-30,BUY,3104.42626953125,34,52.77524658203125,2089.0236134033394,107639.51677746583
2023-10-31,SELL,3095.421875,34,52.622171875,107280.74519152833,107280.74519152833
2023-11-03,BUY,3079.019775390625,34,52.34333618164062,2541.7294920654404,107228.40185534669
2023-11-06,SELL,3105.98828125,34,52.80180078125,108092.52925378419,108092.52925378419
