Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,SMA_200,EMA_20,RSI_14,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,BBM_20_2.0,BBU_20_2.0,BBL_20_2.0,BBB_20_2.0,BBP_20_2.0,ATRr_14,OBV
2023-01-02,2582.3340817172425,2591.2489289498685,2532.609093296961,2541.474365234375,697408,0.0,0.0,,,2541.474365234375,0.0,0.0,0.0,0.0,,,,,,58.63983565290755,0.0
2023-01-03,2543.703168503544,2594.220637971488,2530.8757417792976,2588.871826171875,852511,0.0,0.0,,,2545.9884091331846,99.99999999704626,3.780994034900232,0.7561988069800464,3.0247952279201855,,,,,,58.97591140571347,852511.0
2023-01-04,2594.022824560476,2601.4022895907865,2561.1369877236098,2572.973876953125,832054,0.0,0.0,,,2548.5584536874644,73.46355900851535,5.43201057430997,1.6913611604460312,3.740649413863939,,,,,,57.639439295817986,20457.0
2023-01-05,2566.485600649187,2595.211221034685,2519.583499597817,2537.859130859375,1544601,0.0,0.0,,,2547.5394705609797,45.03615942736942,3.8624624700810273,2.1255814223730303,1.736881047707997,,,,,,58.924316591607266,-1524144.0
2023-01-06,2535.778880802704,2559.9479265280675,2493.1857199142214,2514.086181640625,879019,0.0,0.0,,,2544.3534430447553,35.12615236224953,0.6923252715960189,1.8389301922176282,-1.1466049206216093,,,,,,59.484165878910034,-2403163.0
2023-01-09,2506.0132964769846,2506.0132964769846,2444.451413967791,2461.141845703125,2324487,0.0,0.0,,,2536.4285290122193,22.991980809175928,-6.022769990283905,0.2665901557173216,-6.2893601460012265,,,,,,60.20920886419034,-4727650.0
2023-01-10,2471.3938959105503,2475.0588404962573,2432.7628891207664,2444.847412109375,948787,0.0,0.0,,,2527.706517878615,20.62996652442459,-12.515089812736733,-2.289745837973489,-10.225343974763243,,,,,,58.92969047214038,-5676437.0
2023-01-11,2449.6021407129097,2465.0546407590405,2407.999516406423,2414.3388671875,1000412,0.0,0.0,,,2516.909598765176,17.08989230746245,-19.892773145317733,-5.810351299442338,-14.082421845875395,,,,,,58.795792892174454,-6676849.0
2023-01-12,2426.819638900204,2451.583104603267,2408.9899435939983,2423.451904296875,874520,0.0,0.0,,,2508.008865958671,21.427125877938167,-24.71934518183116,-9.592150075920102,-15.127195105911056,,,,,,57.638462043395485,-5802329.0
2023-01-13,2433.6544158343527,2433.6544158343527,2377.292860987404,2394.330078125,1416869,0.0,0.0,,,2497.182314736416,18.158115780144314,-30.542254190737367,-13.782170898883557,-16.76008329185381,,,,,,57.54725438650644,-7219198.0
2023-01-16,2405.027982126088,2411.763693704121,2369.3685886514013,2383.087646484375,737012,0.0,0.0,,,2486.3161558552697,17.075083242496774,-35.653134665449215,-18.15636365219669,-17.496771013252527,,,,,,56.46495800552168,-7956210.0
2023-01-17,2382.24519599232,2395.0230464651554,2363.424963674709,2385.167236328125,926137,0.0,0.0,,,2476.682925424113,18.04879005604934,-39.0851890137651,-22.342128724510374,-16.74306028925473,,,,,,54.68875263301631,-7030073.0
2023-01-18,2395.1224125334847,2406.860392056725,2389.97166001246,2401.164794921875,601233,0.0,0.0,,,2469.4907225191378,25.313922270366476,-40.052546703528606,-25.88421232031402,-14.168334383214585,,,,,,52.33192428270084,-6428840.0
2023-01-19,2369.86359504625,2388.9810383483978,2344.802920157779,2362.484130859375,1116874,0.0,0.0,,,2459.2996185515412,20.566361676465917,-43.43964576797498,-29.395299009846216,-14.044346758128764,,,,,,52.61977788851476,-7545714.0
2023-01-20,2367.3377061846604,2374.27147646515,2330.7373528559347,2348.8642578125,1229902,0.0,0.0,,,2448.781965147823,19.20085019843245,-46.68480276217315,-32.853199760311604,-13.831603001861545,,,,,,51.970802582850524,-8775616.0
2023-01-23,2361.394528866469,2361.741314120762,2333.312903682579,2342.32666015625,932554,0.0,0.0,,,2438.643364672435,18.563713591217223,-49.21680189815788,-36.125920187880865,-13.090881710277017,,,,,,50.28920314394572,-9708170.0
2023-01-24,2350.0527784505825,2367.9816234610344,2341.6332005298955,2348.3193359375,714000,0.0,0.0,,,2430.0410762214888,21.14668345725096,-50.1616384592071,-38.93306384214611,-11.228574617060985,,,,,,48.57914741445952,-8994170.0
2023-01-25,2347.576342374527,2347.576342374527,2311.471260918071,2334.30322265625,650664,0.0,0.0,,,2420.9231854057516,19.582255422949387,-51.44834692737413,-41.43612045919171,-10.01222646818242,,,,,,47.74121367195734,-9644834.0
2023-01-27,2345.9917755867395,2345.9917755867395,2280.8145221679524,2309.193359375,1238620,0.0,0.0,,,2410.282249593299,17.136382420204583,-53.87321192142372,-43.92353875163812,-9.949673169785598,,,,,,48.986645082445186,-10883454.0
2023-01-30,2309.9361760777,2320.683617368501,2265.41151127288,2313.45263671875,1401847,0.0,0.0,,,2401.060381700485,18.98485769994413,-54.81932377342628,-46.102695755995754,-8.716628017430523,2421.0869384765624,2596.317111593701,2245.8567653594237,14.475330921193608,0.1928773742468434,49.43560658338632,-9481607.0
2023-01-31,2324.794290961533,2363.8709936726905,2313.5515801677084,2354.658935546875,1252600,0.0,0.0,,,2396.641196352522,34.26304162901309,-51.6487457022572,-47.211905745248046,-4.4368399570091555,2411.7461669921877,2579.722488176886,2243.769845807489,13.929850784768973,0.33007357512439095,49.5058030384259,-8229007.0
2023-02-01,2385.761732507751,2386.9999057261507,2278.288297150642,2323.704345703125,1521514,0.0,0.0,,,2389.694829624008,29.727673110031276,-51.04539687959186,-47.97860397211681,-3.0667929074750546,2398.48779296875,2548.4971855134118,2248.4784004240882,12.50866424956754,0.25073745051202356,53.73478914821754,-9750521.0
2023-02-02,2318.900405073128,2362.434527560779,2248.1264714710446,2286.26220703125,1788381,0.0,0.0,,,2379.844103662793,25.355656494979385,-52.977811036460935,-48.97844538498564,-3.999365651475294,2384.152209472656,2517.8662754544175,2250.4381434908946,11.216906827550014,0.13395772268726155,58.06145107261159,-11538902.0
2023-02-03,2298.1488684168576,2446.630518538372,2298.1488684168576,2439.7958984375,3693638,0.0,0.0,,,2385.5537984032408,54.746037960028865,-41.64037311514494,-47.5108309310175,5.870457815872562,2379.2490478515624,2495.249934334847,2263.248161368278,9.751050365074812,0.7609758098468767,65.36908396079092,-7845264.0
2023-02-06,2451.4345687478904,2456.486170546154,2424.4423917018366,2434.743896484375,1049075,0.0,0.0,,,2390.2385696490633,53.99270339497261,-32.686239593393566,-44.54591266349272,11.859673070099156,2375.28193359375,2476.3299602928355,2274.233906894665,8.508297501021433,0.7942262448509727,62.988705023899946,-8894339.0
2023-02-07,2433.059987141909,2436.4772969114897,2409.0890016284866,2423.748779296875,563195,0.0,0.0,,,2393.43001818695,52.305740270796676,-26.175503423577993,-40.871830815509774,14.696327391931781,2373.4122802734373,2469.0079651883498,2277.816595358525,8.055548183470174,0.7632780918310526,60.44581861383589,-9457534.0
2023-02-08,2423.8479951321324,2456.535769484139,2423.8479951321324,2443.4111328125,539085,0.0,0.0,,,2398.190124341764,55.01269395241016,-19.207696133461013,-36.53900387910003,17.331307745639016,2373.340466308594,2468.712093204454,2277.968839412734,8.036910696104012,0.8673559358504608,58.47018801193791,-8918449.0
2023-02-09,2443.658825144833,2452.2268876494727,2428.404626819469,2439.2509765625,464715,0.0,0.0,,,2402.10068169612,54.31033995391264,-13.86156104993961,-32.00351531326795,18.141954263328337,2374.586071777344,2472.8200514352075,2276.3520921194804,8.273777129025001,0.8291371530008904,55.995336070371195,-9383164.0
2023-02-10,2428.800886877785,2448.6116608327425,2418.945075201341,2445.144775390625,597337,0.0,0.0,,,2406.200119190835,55.18331775117213,-9.04486657884081,-27.411785566382523,18.366918987541712,2375.6707153320312,2476.6180461976055,2274.723384466457,8.498427851476507,0.8441104359214012,54.11471103901623,-8785827.0
2023-02-13,2456.5357278991946,2500.0698510012658,2452.722057557066,2495.21630859375,1856317,0.0,0.0,,,2414.677851514922,61.85196452879069,-1.1737173607352815,-22.164171925253076,20.990454564517794,2380.7150268554688,2494.8140628915694,2266.615990819368,9.585274570792004,1.0017627042087944,54.172594222703694,-6929510.0
2023-02-14,2505.022823415853,2505.022823415853,2456.536001905678,2483.181396484375,843477,0.0,0.0,,,2421.2019986548703,59.55806034431116,4.046463167354432,-16.922044906731575,20.968508074086007,2385.7197143554686,2508.692618737152,2262.7468099737853,10.309082298454824,0.8962729945220911,53.766467600380224,-7772987.0
2023-02-15,2479.763920581969,2504.3293273255185,2459.8046636326176,2500.416748046875,707224,0.0,0.0,,,2428.7462605017276,61.74612007143137,9.465134495859274,-11.644609026213406,21.10974352207268,2391.4821899414064,2524.718880056075,2258.245499826738,11.142603584928457,0.908800901657136,53.10633874984599,-7065763.0
2023-02-16,2506.062858663828,2521.5646922627952,2494.275545112286,2498.53466796875,704946,0.0,0.0,,,2435.3927754985866,61.355742331498774,13.452530037648103,-6.625181213441104,20.077711251089205,2396.35068359375,2537.9316142671264,2254.769752920374,11.816378265726179,0.8608677520656004,51.262253635607635,-7770709.0
2023-02-17,2491.204668404544,2521.7628820435048,2472.384434329122,2476.643798828125,607239,0.0,0.0,,,2439.321444387114,56.853372222562605,14.676972538798964,-2.364750462993091,17.041723001792054,2402.0586669921877,2547.0544412605623,2257.062892723813,12.07262555747113,0.7571976052826581,51.12769606980585,-8377948.0
2023-02-20,2476.3464861964308,2483.5278910064003,2442.965383928645,2450.740966796875,460090,0.0,0.0,,,2440.409017949948,51.99166674539281,13.402711857278064,0.7887420010611401,12.613969856216924,2407.1525024414063,2551.436073446292,2262.8689314365206,11.98790445213164,0.6510513776857088,50.3730397132308,-8838038.0
