source,title,description,published_at,url,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_compound,sentiment_label
EconomicTimes_Markets,<![CDATA['Misleading financial statements': Suzlon to challenge Sebi's penalty order before SAT]]>,"Suzlon Energy plans to challenge Sebi's order imposing penalties of nearly Rs 29 crore on the company and former executives over alleged accounting and disclosure violations related to FY14-FY18. The company will appeal before the Securities Appellate Tribunal, while Sebi maintains that certain transactions and disclosures misrepresented its financial position.",2026-05-31 10:39:45,,0.133,0.111,0.756,-0.2714,Negative
LiveMint_News,"<![CDATA[Watch: Meteor traveling at 75,000 Mph explodes over northeastern US, boom so loud residents say their homes shook]]>","A meteor streaking across the skies over the northeastern United States exploded with energy equivalent to about 300 tons of TNT on Saturday, according to NASA.&nbsp;",2026-05-31 10:22:22,,0.109,0.029,0.861,0.5848,Positive
LiveMint_News,<![CDATA[Mosquito humming to get stronger in California as Google plans to release 32 million insects: Reason may surprise you]]>,"These 32 million mosquitoes will be engineered to target diseases carried by them. According to a report in Yahoo, the insects would be released in only a few zones that have witnessed disease transmission at a higher rate.",2026-05-31 07:20:27,,0.083,0.0,0.917,0.6114,Positive
GoogleNews,Irish Sports: Spring Recap - University of Notre Dame,Irish Sports: Spring Recap  University of Notre Dame,2026-05-31 02:31:00,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,Invesco USD IG Corporate Bond Yield Plus USD Acc Share Price | LON:UYLA ETF - Investing.com India,Invesco USD IG Corporate Bond Yield Plus USD Acc Share Price | LON:UYLA ETF  Investing.com India,2026-05-30 21:46:53,,0.124,0.0,0.876,0.5267,Positive
GoogleNews,"Miami 'Absolutely the Favorite in the ACC,' Says Anonymous Coach - Yahoo Sports","Miami 'Absolutely the Favorite in the ACC,' Says Anonymous Coach  Yahoo Sports",2026-05-30 20:26:43,,0.222,0.0,0.778,0.762,Positive
LiveMint_News,"<![CDATA[Man earning  ₹18 LPA asks if he should leave corporate role for  ₹7 LPA govt job, internet divided]]>","The individual, who currently earns  ₹18 lakh per annum in a metropolitan city, is considering accepting a government assistant post in their hometown with an annual salary of around  ₹7 lakh.",2026-05-30 20:06:28,,0.057,0.023,0.92,0.4003,Positive
LiveMint_News,"<![CDATA[At least 22 dead, 36 injured after truck carrying Afghan refugees from Pakistan falls into a ditch]]>","At least 22 Afghan refugees were killed on Saturday, mostly women and children, after a truck carrying them fell into a ditch. Traffic accidents are common across Afghanistan, where roads are poorly maintained, and drivers routinely ignore traffic regulations.",2026-05-30 19:57:38,,0.0,0.245,0.755,-0.9485,Negative
GoogleNews,ACC Limited files BRSR for FY26 reporting 1.7x water positivity - scanx.trade,ACC Limited files BRSR for FY26 reporting 1.7x water positivity  scanx.trade,2026-05-30 19:29:32,,0.224,0.129,0.646,0.5859,Positive
GoogleNews,"Ranking ACC head coaches post-spring: Swinney dethroned, Cristobal soars - Clemson Wire","Ranking ACC head coaches post-spring: Swinney dethroned, Cristobal soars  Clemson Wire",2026-05-30 18:34:00,,0.0,0.0,1.0,0.0,Neutral
