source,title,description,published_at,url,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_compound,sentiment_label
GoogleNews,"Buzzing stocks: Automobile, textile stocks, Petroleum exporters, AWL Agri, Cyient, NCC - BusinessLine","Buzzing stocks: Automobile, textile stocks, Petroleum exporters, AWL Agri, Cyient, NCC  BusinessLine",2026-06-01 02:44:47,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,AWL Agri Business rises on collaborating with SRSL to grow packaged foods business - Investment Guru,AWL Agri Business rises on collaborating with SRSL to grow packaged foods business  Investment Guru,2026-05-29 23:45:55,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,AWL Agri to market 'Madhur' sugar in Shree Renuka tie-up - MSN,AWL Agri to market 'Madhur' sugar in Shree Renuka tie-up  MSN,2026-05-29 11:05:40,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,AWL Partners With Shree Renuka Sugars To Scale Madhur Brand - HDFC Sky,AWL Partners With Shree Renuka Sugars To Scale Madhur Brand  HDFC Sky,2026-05-29 05:09:05,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,AWL Agri Business joins hands with Shree Renuka Sugars to market 'Madhur' brand - ET Retail,AWL Agri Business joins hands with Shree Renuka Sugars to market 'Madhur' brand  ET Retail,2026-05-29 05:08:32,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,Shree Renuka Sugars partners with AWL for Madhur brand distribution - scanx.trade,Shree Renuka Sugars partners with AWL for Madhur brand distribution  scanx.trade,2026-05-29 04:20:26,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,Shree Renuka Sugars ties up with AWL Agri Business to market and distribute Madhur sugar - ChiniMandi,Shree Renuka Sugars ties up with AWL Agri Business to market and distribute Madhur sugar  ChiniMandi,2026-05-28 13:01:50,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,AWL Agri to expand packaged foods biz with Shree Renuka's 'Madhur' brand - CNBC TV18,AWL Agri to expand packaged foods biz with Shree Renuka's 'Madhur' brand  CNBC TV18,2026-05-27 07:00:00,,0.146,0.0,0.854,0.5574,Positive
GoogleNews,"AWL Agri Business Targets ₹1 Lakh Crore Revenue and ₹4,000 Crore EBITDA by 2030 - scanx.trade","AWL Agri Business Targets ₹1 Lakh Crore Revenue and ₹4,000 Crore EBITDA by 2030  scanx.trade",2026-05-26 07:00:00,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,"AWL Agri Business - FIIs, retail investors raise stakes in 10 midcaps, but stocks slip up to 30% - The Economic Times","AWL Agri Business - FIIs, retail investors raise stakes in 10 midcaps, but stocks slip up to 30%  The Economic Times",2026-05-25 10:39:46,,0.0,0.0,1.0,0.0,Neutral
EconomicTimes_TopStories,<![CDATA[Delhi World Book fair: A fair like no other]]>,"It's the World Book fair, which comes around once every two years sprawling across the giant halls of Pragati Maidan.  This is the fair's 20th edition.",2012-02-25 07:38:37,,0.231,0.053,0.716,0.7574,Positive
