source,title,description,published_at,url,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_compound,sentiment_label
GoogleNews,Bharti Airtel Opening Bell Updates: Navigating Global Cues & Strategic Debt Moves - LatestLY,Bharti Airtel Opening Bell Updates: Navigating Global Cues & Strategic Debt Moves  LatestLY,2026-06-01 04:11:11,,0.0,0.167,0.833,-0.6124,Negative
GoogleNews,Business News | ⚡Bharti Airtel Ends Day in Red Amidst Sector Headwinds and Net Neutrality Debate - LatestLY,Business News | ⚡Bharti Airtel Ends Day in Red Amidst Sector Headwinds and Net Neutrality Debate  LatestLY,2026-05-29 11:12:24,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,Bharti Airtel Closing Bell Updates: Stock Slips 1.25% on High Volume - LatestLY,Bharti Airtel Closing Bell Updates: Stock Slips 1.25% on High Volume  LatestLY,2026-05-29 10:16:06,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,Bharti Airtel Closing Bell Updates: Share Price Dips 1.25% Amidst Sector Weakness - LatestLY,Bharti Airtel Closing Bell Updates: Share Price Dips 1.25% Amidst Sector Weakness  LatestLY,2026-05-29 10:08:33,,0.133,0.17,0.697,-0.296,Negative
GoogleNews,BHARTI AIRTEL LIMITED Share Price Today - Live BHARTIARTL Stock Price for NSE/BSE - Upstox,BHARTI AIRTEL LIMITED Share Price Today - Live BHARTIARTL Stock Price for NSE/BSE  Upstox,2026-05-29 07:00:00,,0.127,0.152,0.721,-0.2182,Negative
GoogleNews,"BHARTIARTL Outlook for the Week (June 01, 2026 – June 05, 2026) - Equitypandit","BHARTIARTL Outlook for the Week (June 01, 2026 – June 05, 2026)  Equitypandit",2026-05-29 07:00:00,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,Bharti Airtel Opening Bell Updates: Stock Gains Marginally Amid Strategic Moves - LatestLY,Bharti Airtel Opening Bell Updates: Stock Gains Marginally Amid Strategic Moves  LatestLY,2026-05-29 03:23:17,,0.173,0.0,0.827,0.5859,Positive
GoogleNews,Business News | ⚡Bharti Airtel: Navigating Market Currents Amidst Strategic Moves - LatestLY,Business News | ⚡Bharti Airtel: Navigating Market Currents Amidst Strategic Moves  LatestLY,2026-05-29 03:23:17,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,Bharti Airtel Stock Update: Shares Closed with Gains on Positive Outlook - LatestLY,Bharti Airtel Stock Update: Shares Closed with Gains on Positive Outlook  LatestLY,2026-05-28 11:01:29,,0.463,0.0,0.537,0.9371,Positive
GoogleNews,"Business News | ⚡Indian equity markets are closed today, Thursday, May 28, 2026, in observance of Bakri Eid, meaning there is no live trading activity. All market figures reflect the last close from the most recent trading session. - LatestLY","Business News | ⚡Indian equity markets are closed today, Thursday, May 28, 2026, in observance of Bakri Eid, meaning there is no live trading activity. All market figures reflect the last close from the most recent trading session.  LatestLY",2026-05-28 11:01:29,,0.0,0.053,0.947,-0.5267,Negative
