source,title,description,published_at,url,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_compound,sentiment_label
GoogleNews,Fire breaks out at commercial building in Gurgaon’s DLF-1; no injuries - The Times of India,Fire breaks out at commercial building in Gurgaon’s DLF-1; no injuries  The Times of India,2026-05-31 18:34:00,,0.0,0.254,0.746,-0.802,Negative
GoogleNews,"Airbnb leases 46,437 sq ft office space in Gurugram’s DLF Cyber City - ET Realty","Airbnb leases 46,437 sq ft office space in Gurugram’s DLF Cyber City  ET Realty",2026-05-31 07:20:44,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,74-year-old woman found dead in DLF Phase 2 home days after being reported missing - The Tribune,74-year-old woman found dead in DLF Phase 2 home days after being reported missing  The Tribune,2026-05-31 04:28:23,,0.0,0.31,0.69,-0.9186,Negative
GoogleNews,"Airbnb leases 46,437 sq ft for GCC at DLF Cybercity Gurugram for ₹61.5 lakh monthly rent | Real Estate News - Hindustan Times","Airbnb leases 46,437 sq ft for GCC at DLF Cybercity Gurugram for ₹61.5 lakh monthly rent | Real Estate News  Hindustan Times",2026-05-31 02:55:00,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,"Airbnb leases 46,000 sq ft office space for GCC in DLF Cyber City - Business Standard","Airbnb leases 46,000 sq ft office space for GCC in DLF Cyber City  Business Standard",2026-05-30 10:12:20,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,"Airbnb leases 46,000 sq ft for GCC in DLF Cyber City Gurugram - Mint","Airbnb leases 46,000 sq ft for GCC in DLF Cyber City Gurugram  Mint",2026-05-30 07:12:38,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,DLF LIMITED Share Price Today - Live DLF Stock Price for NSE/BSE - Upstox,DLF LIMITED Share Price Today - Live DLF Stock Price for NSE/BSE  Upstox,2026-05-29 07:00:00,,0.135,0.161,0.704,-0.2182,Negative
GoogleNews,DLF Q4 Results 2026 - Find DLF Q4 Earnings Result | DLF Q4 results - Mint,DLF Q4 Results 2026 - Find DLF Q4 Earnings Result | DLF Q4 results  Mint,2026-05-29 07:00:00,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,"Power outages hits DLF, Sector 99, glitches in substations cited | Hindustan Times - Hindustan Times","Power outages hits DLF, Sector 99, glitches in substations cited | Hindustan Times  Hindustan Times",2026-05-28 22:34:00,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,How An Uncancelled Billboard Near DLF Emporio Cost 'Ekaya Banaras' Founder Rs 40 Lakh - NDTV,How An Uncancelled Billboard Near DLF Emporio Cost 'Ekaya Banaras' Founder Rs 40 Lakh  NDTV,2026-05-27 11:52:53,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,Big Relief to DLF: Punjab & Haryana HC Rules PLC Not Separately Taxable Under GST - SAG Infotech Official Tax Blog,Big Relief to DLF: Punjab & Haryana HC Rules PLC Not Separately Taxable Under GST  SAG Infotech Official Tax Blog,2026-05-27 11:08:48,,0.137,0.0,0.863,0.7351,Positive
GoogleNews,Is DLF Golf Links the billionaires address of India: Look who recently bought property here - land2capital.com,Is DLF Golf Links the billionaires address of India: Look who recently bought property here  land2capital.com,2026-05-26 11:26:52,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,Is DLF Golf Links the new billionaires address of India? Look who recently bought property here - The Times of India,Is DLF Golf Links the new billionaires address of India? Look who recently bought property here  The Times of India,2026-05-26 10:21:00,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,DLF Ltd. Sees Sharp Open Interest Surge Amid Mixed Market Signals - Markets Mojo,DLF Ltd. Sees Sharp Open Interest Surge Amid Mixed Market Signals  Markets Mojo,2026-05-25 10:20:53,,0.194,0.0,0.806,0.7184,Positive
