source,title,description,published_at,url,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_compound,sentiment_label
GoogleNews,Best of BS Opinion: HDFC Bank must emphatically address all concerns - Business Standard,Best of BS Opinion: HDFC Bank must emphatically address all concerns  Business Standard,2026-06-01 00:50:50,,0.251,0.0,0.749,0.8555,Positive
GoogleNews,"SBI, HDFC Bank Holiday Next Week: Check Bank Closure Date Between June 1, June 6 - APAC Media","SBI, HDFC Bank Holiday Next Week: Check Bank Closure Date Between June 1, June 6  APAC Media",2026-05-31 19:13:02,,0.141,0.0,0.859,0.6597,Positive
GoogleNews,"HDFC Bank shares: Rs 24,000 crore market cap gone today! Here's why - MSN","HDFC Bank shares: Rs 24,000 crore market cap gone today! Here's why  MSN",2026-05-31 18:00:15,,0.166,0.0,0.834,0.6103,Positive
GoogleNews,Governance questions: HDFC Bank must emphatically address all concerns - Business Standard,Governance questions: HDFC Bank must emphatically address all concerns  Business Standard,2026-05-31 16:17:45,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,HDFC Bank Under Scrutiny Over Alleged Rs 45 Cr Payments Via Marketing Budget - BW Businessworld,HDFC Bank Under Scrutiny Over Alleged Rs 45 Cr Payments Via Marketing Budget  BW Businessworld,2026-05-30 23:41:35,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,Markets End Flat As HDFC Bank Drags; Metals Rally On Aluminium Price Surge - BW Businessworld,Markets End Flat As HDFC Bank Drags; Metals Rally On Aluminium Price Surge  BW Businessworld,2026-05-30 19:06:48,,0.0,0.105,0.895,-0.34,Negative
GoogleNews,"Bank holiday today, May 30: Are SBI, HDFC Bank, and other banks closed on Saturday? - Mint","Bank holiday today, May 30: Are SBI, HDFC Bank, and other banks closed on Saturday?  Mint",2026-05-30 00:16:00,,0.157,0.0,0.843,0.6966,Positive
GoogleNews,HDFC Bank shares slide as ₹45 crore payment probe deepens - MSN,HDFC Bank shares slide as ₹45 crore payment probe deepens  MSN,2026-05-29 16:34:36,,0.173,0.0,0.827,0.5267,Positive
GoogleNews,"HDFC Bank–Ambuja Foundation Partnership promotes climate-smart, sustainable agriculture - Agro Spectrum India","HDFC Bank–Ambuja Foundation Partnership promotes climate-smart, sustainable agriculture  Agro Spectrum India",2026-05-29 08:51:30,,0.186,0.0,0.814,0.5859,Positive
GoogleNews,HDFC Bank 'strongly' rejects allegations of wrongfully transferring money: Turns down reports of remitting ... - Bhaskar English,HDFC Bank 'strongly' rejects allegations of wrongfully transferring money: Turns down reports of remitting ...  Bhaskar English,2026-05-29 08:50:48,,0.101,0.154,0.745,-0.4939,Negative
GoogleNews,HDFC Bank Allots Over 13 Lakh Shares Under ESOP and RSU Schemes - PSU Connect,HDFC Bank Allots Over 13 Lakh Shares Under ESOP and RSU Schemes  PSU Connect,2026-05-29 07:55:00,,0.14,0.0,0.86,0.5267,Positive
GoogleNews,HDFC BANK LTD Share Price Today - Live HDFCBANK Stock Price for NSE/BSE - Upstox,HDFC BANK LTD Share Price Today - Live HDFCBANK Stock Price for NSE/BSE  Upstox,2026-05-29 07:00:00,,0.14,0.0,0.86,0.5267,Positive
GoogleNews,"HDFC Bank Senior Citizens Saving Scheme (SCSS) account eligibility, fees, documents - all key details here - Upstox","HDFC Bank Senior Citizens Saving Scheme (SCSS) account eligibility, fees, documents - all key details here  Upstox",2026-05-29 07:00:00,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,"HDFCBANK Outlook for the Week (June 01, 2026 – June 05, 2026) - Equitypandit","HDFCBANK Outlook for the Week (June 01, 2026 – June 05, 2026)  Equitypandit",2026-05-29 07:00:00,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,"Asia-Pacific Power List 2026: Ravi Santhanam, HDFC Bank - Campaign Asia","Asia-Pacific Power List 2026: Ravi Santhanam, HDFC Bank  Campaign Asia",2026-05-29 06:59:55,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,HDFC Bank Shares Fall for Third Day on Governance Probe Report - Equitypandit,HDFC Bank Shares Fall for Third Day on Governance Probe Report  Equitypandit,2026-05-29 06:43:00,,0.161,0.0,0.839,0.5267,Positive
GoogleNews,"Dividends, bonuses and stock splits in June 2026: Reliance Industries, HDFC Bank, Infosys, LIC, Tata Steel, Adani Ports, others in focus - Upstox","Dividends, bonuses and stock splits in June 2026: Reliance Industries, HDFC Bank, Infosys, LIC, Tata Steel, Adani Ports, others in focus  Upstox",2026-05-29 06:34:48,,0.143,0.0,0.857,0.802,Positive
GoogleNews,HDFC Bank denies material impact on alleged ₹45 crore payment routing issue - BusinessLine,HDFC Bank denies material impact on alleged ₹45 crore payment routing issue  BusinessLine,2026-05-29 06:06:55,,0.0,0.183,0.817,-0.6808,Negative
GoogleNews,"Stocks to buy for long term: HDFC Bank, HCC among 8 stocks Ventura's Vinit Bolinjkar suggests for 18-115% gains - Mint","Stocks to buy for long term: HDFC Bank, HCC among 8 stocks Ventura's Vinit Bolinjkar suggests for 18-115% gains  Mint",2026-05-29 05:36:51,,0.11,0.0,0.89,0.5859,Positive
GoogleNews,HDFC Bank Ltd. is Rated Hold - Markets Mojo,HDFC Bank Ltd. is Rated Hold  Markets Mojo,2026-05-29 05:19:28,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,"HDFC Bank share price extends losses to third straight session, down 23% YTD. More pain ahead? - Mint","HDFC Bank share price extends losses to third straight session, down 23% YTD. More pain ahead?  Mint",2026-05-29 05:13:22,,0.228,0.263,0.509,-0.6952,Negative
