source,title,description,published_at,url,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_compound,sentiment_label
GoogleNews,"ICICI Bank Share Price Today, ICICI Bank Stock Price Live NSE/BSE Updates - The Economic Times","ICICI Bank Share Price Today, ICICI Bank Stock Price Live NSE/BSE Updates  The Economic Times",2026-05-30 21:02:13,,0.132,0.0,0.868,0.5267,Positive
GoogleNews,"ICICI Bank, AU Small Finance Bank top picks as banking sector gears up for earnings revival - The Economic Times","ICICI Bank, AU Small Finance Bank top picks as banking sector gears up for earnings revival  The Economic Times",2026-05-30 04:21:04,,0.089,0.0,0.911,0.3818,Positive
GoogleNews,ICICI Bank Ltd (ADR) stock (US45104G1040): ADR tracks modest move in Indian home-market shares - AD HOC NEWS,ICICI Bank Ltd (ADR) stock (US45104G1040): ADR tracks modest move in Indian home-market shares  AD HOC NEWS,2026-05-29 21:04:17,,0.118,0.0,0.882,0.5267,Positive
GoogleNews,"Stock Market Crash Today: Reliance Industries, HDFC Bank, ICICI Bank, Bharti Airtel Drag Nifty - NDTV Profit","Stock Market Crash Today: Reliance Industries, HDFC Bank, ICICI Bank, Bharti Airtel Drag Nifty  NDTV Profit",2026-05-29 10:19:09,,0.247,0.203,0.551,0.4588,Positive
GoogleNews,ICICI Bank Ltd. Sees High-Value Trading Amid Sector Outperformance and Institutional Interest - Markets Mojo,ICICI Bank Ltd. Sees High-Value Trading Amid Sector Outperformance and Institutional Interest  Markets Mojo,2026-05-29 04:49:18,,0.182,0.0,0.818,0.7184,Positive
GoogleNews,"Eid ul Adha 2026: Are SBI, ICICI Bank, HDFC Bank, others open or closed today in India on May 28? Details here - Business Today","Eid ul Adha 2026: Are SBI, ICICI Bank, HDFC Bank, others open or closed today in India on May 28? Details here  Business Today",2026-05-28 01:30:03,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,Credit card spending slows in April; SBI Cards emerges as top outperformer while ICICI Bank lags - Business Today,Credit card spending slows in April; SBI Cards emerges as top outperformer while ICICI Bank lags  Business Today,2026-05-27 11:45:02,,0.196,0.112,0.692,0.4215,Positive
GoogleNews,"HDFC Bank, ICICI Bank, SBI, AU SFB shares: Top banking stock picks - Business Today","HDFC Bank, ICICI Bank, SBI, AU SFB shares: Top banking stock picks  Business Today",2026-05-27 06:08:09,,0.242,0.0,0.758,0.7184,Positive
GoogleNews,ICICI Bank Ltd. Sees Robust Value Trading Amid Market Outperformance - Markets Mojo,ICICI Bank Ltd. Sees Robust Value Trading Amid Market Outperformance  Markets Mojo,2026-05-27 05:36:04,,0.314,0.0,0.686,0.8225,Positive
GoogleNews,ICICI Bank adds most credit cards in April amid rising competition - The Economic Times,ICICI Bank adds most credit cards in April amid rising competition  The Economic Times,2026-05-26 19:45:17,,0.176,0.0,0.824,0.699,Positive
GoogleNews,"Gold seen consolidating near term before resuming uptrend on West Asia worries, stronger USD: Report - ANI News","Gold seen consolidating near term before resuming uptrend on West Asia worries, stronger USD: Report  ANI News",2026-05-26 13:26:00,,0.124,0.134,0.742,-0.1027,Negative
GoogleNews,"Banks Drag Markets; FMCG, Metals Cushion May 26 Fall - HDFC Sky","Banks Drag Markets; FMCG, Metals Cushion May 26 Fall  HDFC Sky",2026-05-26 11:30:37,,0.0,0.153,0.847,-0.4215,Negative
GoogleNews,"ICICI Bank - HDFC Bank, SBI among 10 stocks that saw highest selling by LIC in Q4. Do you own any?​ - The Economic Times","ICICI Bank - HDFC Bank, SBI among 10 stocks that saw highest selling by LIC in Q4. Do you own any?​  The Economic Times",2026-05-26 04:37:29,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,ICICI Bank Ltd. Technical Momentum Shifts Amid Mixed Indicator Signals - Markets Mojo,ICICI Bank Ltd. Technical Momentum Shifts Amid Mixed Indicator Signals  Markets Mojo,2026-05-26 02:33:08,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,ICICI Bank's shares jump 2% after RBI okays Sandeep Bakhshi's reappointment - Business Standard,ICICI Bank's shares jump 2% after RBI okays Sandeep Bakhshi's reappointment  Business Standard,2026-05-25 16:11:33,,0.315,0.0,0.685,0.8625,Positive
GoogleNews,ICICI Bank to attend investor meet on May 29 - scanx.trade,ICICI Bank to attend investor meet on May 29  scanx.trade,2026-05-25 11:53:10,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,"Auto, banking stocks power market rally; Eicher Motors jumps 5%, HDFC Bank, ICICI Bank among top Nifty... - Moneycontrol.com","Auto, banking stocks power market rally; Eicher Motors jumps 5%, HDFC Bank, ICICI Bank among top Nifty...  Moneycontrol.com",2026-05-25 04:10:54,,0.214,0.0,0.786,0.7906,Positive
GoogleNews,"Stocks in news: Suzlon Energy, Wipro, Hindalco, ICICI Bank, Eicher Motors - The Economic Times","Stocks in news: Suzlon Energy, Wipro, Hindalco, ICICI Bank, Eicher Motors  The Economic Times",2026-05-25 01:04:04,,0.135,0.0,0.865,0.4939,Positive
GoogleNews,ICICI Bank seeks at least ₹100 crore recovery from fintech firms - Business Standard,ICICI Bank seeks at least ₹100 crore recovery from fintech firms  Business Standard,2026-05-24 18:35:00,,0.0,0.0,1.0,0.0,Neutral
