source,title,description,published_at,url,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_compound,sentiment_label
GoogleNews,"“I can’t come back at 75”: As Nandan Nilekani turns 71, Infosys faces its biggest leadership question - The Economic Times","“I can’t come back at 75”: As Nandan Nilekani turns 71, Infosys faces its biggest leadership question  The Economic Times",2026-06-02 09:41:00,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,"Infosys shares jump 6%, rally 10% in 3 days as IT stocks shine. More upside ahead? - The Economic Times","Infosys shares jump 6%, rally 10% in 3 days as IT stocks shine. More upside ahead?  The Economic Times",2026-06-02 09:24:00,,0.114,0.0,0.886,0.5803,Positive
GoogleNews,Infosys share price jumps 5% in trade today; here's why - Mint,Infosys share price jumps 5% in trade today; here's why  Mint,2026-06-02 09:05:16,,0.173,0.0,0.827,0.5267,Positive
GoogleNews,Infosys and Handelsblatt Media Group Unveil Editorial Link Intelligence to Enhance Storytelling and Enrich Reader Experience - marketscreener.com,Infosys and Handelsblatt Media Group Unveil Editorial Link Intelligence to Enhance Storytelling and Enrich Reader Experience  marketscreener.com,2026-06-02 08:35:25,,0.158,0.0,0.842,0.7351,Positive
GoogleNews,Infosys Ltd soars 5.69% - Business Standard,Infosys Ltd soars 5.69%  Business Standard,2026-06-02 08:34:15,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,Infosys shares rise as it partners with German media group to launch AI-powered editorial engine - Upstox,Infosys shares rise as it partners with German media group to launch AI-powered editorial engine  Upstox,2026-06-02 08:19:01,,0.124,0.0,0.876,0.5267,Positive
GoogleNews,Infosys shares jump 6% after launching AI-powered journalism tool with German media group - CNBC TV18,Infosys shares jump 6% after launching AI-powered journalism tool with German media group  CNBC TV18,2026-06-02 08:15:33,,0.132,0.0,0.868,0.5267,Positive
GoogleNews,Infosys and Handelsblatt Launch AI-Powered Editorial Engine ELI: A Strategic Win for Enterprise AI - India Infoline,Infosys and Handelsblatt Launch AI-Powered Editorial Engine ELI: A Strategic Win for Enterprise AI  India Infoline,2026-06-02 08:15:05,,0.197,0.0,0.803,0.8225,Positive
GoogleNews,"Why Are TCS, Infosys, Coforge & Other IT Stocks Rising Today? Nifty IT Soars 4%; Key Reasons Behind IT Rally - Goodreturns","Why Are TCS, Infosys, Coforge & Other IT Stocks Rising Today? Nifty IT Soars 4%; Key Reasons Behind IT Rally  Goodreturns",2026-06-02 08:07:49,,0.123,0.0,0.877,0.6966,Positive
GoogleNews,Infosys and Handelsblatt Media Group Unveil AI-Powered Editorial Engine to Enhance Storytelling and Enrich Reader Experience - CXOToday.com,Infosys and Handelsblatt Media Group Unveil AI-Powered Editorial Engine to Enhance Storytelling and Enrich Reader Experience  CXOToday.com,2026-06-02 07:58:28,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,Infosys and Handelsblatt Media Group Unveil AI-Powered Editorial Engine to Enhance Storytelling and Enrich Reader Experience - PR Newswire,Infosys and Handelsblatt Media Group Unveil AI-Powered Editorial Engine to Enhance Storytelling and Enrich Reader Experience  PR Newswire,2026-06-02 07:49:00,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,"NSE Mainboard Most Active Equities on June 2, 2026, At Mid-Day: Infosys, HDFC Bank, TCS Lead by Traded Value - HDFC Sky","NSE Mainboard Most Active Equities on June 2, 2026, At Mid-Day: Infosys, HDFC Bank, TCS Lead by Traded Value  HDFC Sky",2026-06-02 07:47:14,,0.217,0.0,0.783,0.8685,Positive
GoogleNews,"Why Infosys, TCS, TechM shares are rising today? - India Infoline","Why Infosys, TCS, TechM shares are rising today?  India Infoline",2026-06-02 07:46:34,,0.2,0.0,0.8,0.5803,Positive
GoogleNews,Infosys Partners with Handelsblatt Media Group to Launch AI-Driven Editorial Tool for Enhanced Storytelling and Reader Engagement - scanx.trade,Infosys Partners with Handelsblatt Media Group to Launch AI-Driven Editorial Tool for Enhanced Storytelling and Reader Engagement  scanx.trade,2026-06-02 07:43:13,,0.146,0.0,0.854,0.7184,Positive
GoogleNews,Infosys And Handelsblatt Media Group Unveil AI-Powered Editorial Engine - TradingView,Infosys And Handelsblatt Media Group Unveil AI-Powered Editorial Engine  TradingView,2026-06-02 07:29:42,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,"Infosys, TCS Lead IT Rally as AI Optimism Sparks Fresh Buying in Software Stocks - HDFC Sky","Infosys, TCS Lead IT Rally as AI Optimism Sparks Fresh Buying in Software Stocks  HDFC Sky",2026-06-02 07:26:39,,0.286,0.0,0.714,0.891,Positive
GoogleNews,"Nifty IT Surges 8% In Three Days As Infosys, TCS Lead The Charge; What's Driving The Rally? - News18","Nifty IT Surges 8% In Three Days As Infosys, TCS Lead The Charge; What's Driving The Rally?  News18",2026-06-02 06:30:27,,0.141,0.0,0.859,0.6966,Positive
GoogleNews,"Infosys, TCS, Coforge, HCLTech shares climb as Nifty IT jumps nearly 4%; here's what is driving the surge - MSN","Infosys, TCS, Coforge, HCLTech shares climb as Nifty IT jumps nearly 4%; here's what is driving the surge  MSN",2026-06-02 06:01:00,,0.219,0.0,0.781,0.8316,Positive
GoogleNews,Infosys’ Salil Parekh vs TCS’ K Krithivasan: Which Indian tech CEO earned more in FY26? | Trending - Hindustan Times,Infosys’ Salil Parekh vs TCS’ K Krithivasan: Which Indian tech CEO earned more in FY26? | Trending  Hindustan Times,2026-06-02 05:53:28,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,"The Nvidia Effect? Why Infosys, TCS, Coforge And Other IT Stocks Are Surging - NDTV Profit","The Nvidia Effect? Why Infosys, TCS, Coforge And Other IT Stocks Are Surging  NDTV Profit",2026-06-02 05:51:19,,0.175,0.0,0.825,0.7319,Positive
GoogleNews,"TCS, Infosys, HCLTech shares rally up to 6% despite weak market: What's driving the IT stock surge? - Fortune India","TCS, Infosys, HCLTech shares rally up to 6% despite weak market: What's driving the IT stock surge?  Fortune India",2026-06-02 05:43:46,,0.215,0.0,0.785,0.8211,Positive
GoogleNews,"TCS, Infosys, HCL Tech, Wipro, Coforge, Mphasis, TechM: IT stocks to buy— Fresh targets - Business Today","TCS, Infosys, HCL Tech, Wipro, Coforge, Mphasis, TechM: IT stocks to buy— Fresh targets  Business Today",2026-06-02 05:35:08,,0.129,0.0,0.871,0.5574,Positive
GoogleNews,Infosys Share Price Today Up 5% - Equitymaster,Infosys Share Price Today Up 5%  Equitymaster,2026-06-02 05:32:00,,0.253,0.0,0.747,0.5267,Positive
GoogleNews,"Nifty IT extends winning streak to 3rd day, up 3%; TCS, Infosys lead gains - Business Standard","Nifty IT extends winning streak to 3rd day, up 3%; TCS, Infosys lead gains  Business Standard",2026-06-02 05:17:00,,0.444,0.0,0.556,0.9517,Positive
GoogleNews,"IT rally rages on! Infosys, TCS, other stocks jump up to 4% despite overall market weakness - The Economic Times","IT rally rages on! Infosys, TCS, other stocks jump up to 4% despite overall market weakness  The Economic Times",2026-06-02 05:12:58,,0.1,0.146,0.754,-0.4802,Negative
GoogleNews,"Infosys, TCS, IT stocks extend rally for second day; Top CLSA chartists sees further upside - CNBC TV18","Infosys, TCS, IT stocks extend rally for second day; Top CLSA chartists sees further upside  CNBC TV18",2026-06-02 05:12:39,,0.184,0.0,0.816,0.6124,Positive
GoogleNews,"Infosys, TCS, Coforge, HCLTech shares climb as Nifty IT jumps nearly 4%; here's what is driving the surge - Business Today","Infosys, TCS, Coforge, HCLTech shares climb as Nifty IT jumps nearly 4%; here's what is driving the surge  Business Today",2026-06-02 05:11:30,,0.209,0.0,0.791,0.8316,Positive
