source,title,description,published_at,url,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_compound,sentiment_label
LiveMint_News,"<![CDATA[CBSE opens Class 12 verification, re-evaluation portal; students report glitches - Everything in 10 points]]>","As soon as the CBSE launched the portal, several students reported facing login glitches and other technical errors, and expressed their frustration online.",2026-06-02 12:33:59,,0.035,0.137,0.828,-0.6476,Negative
EconomicTimes_Markets,"<![CDATA[Bitcoin hits 7-week low near $70K amid escalating US-Iran tensions, early $744 million liquidated in 24 hours]]>","Bitcoin prices crashed to near the $70,000 mark, hitting a seven-week low as escalating US-Iran tensions triggered risk-off sentiment across global markets. More than $744 million in crypto positions were liquidated in 24 hours, while ETF outflows and weakening market sentiment added pressure on the world's largest cryptocurrency.",2026-06-02 11:50:19,,0.0,0.196,0.804,-0.908,Negative
LiveMint_News,<![CDATA[Tamil Nadu CM Vijay only seen in suits: What is the hidden message behind it?]]>,"New CM Vijay ditched the traditional white shirt and veshti for black and white suits, gaining mixed reactions. Meet his thoughts, designer, hidden message and more behind the look.",2026-06-02 10:37:10,,0.067,0.0,0.933,0.4753,Positive
GoogleNews,"ITC Hotels Set to Acquire A Luxury Resort Along The Iconic Backwaters Of Kumarakom, Kerala - HospiBuz","ITC Hotels Set to Acquire A Luxury Resort Along The Iconic Backwaters Of Kumarakom, Kerala  HospiBuz",2026-06-02 08:36:43,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,ITC Hotels acquires Zuri Hotels & Resorts in Kumarakom - BW Hotelier,ITC Hotels acquires Zuri Hotels & Resorts in Kumarakom  BW Hotelier,2026-06-02 06:51:43,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,"Stock market fall: RVNL, ITC, Swiggy, Britannia among 70 stocks that hit 52-week low on NSE - Upstox","Stock market fall: RVNL, ITC, Swiggy, Britannia among 70 stocks that hit 52-week low on NSE  Upstox",2026-06-02 06:39:24,,0.0,0.113,0.887,-0.4939,Negative
GoogleNews,‘Filing GST Appeal using ITC for Pre-Deposit Cannot Make Advocate a Conspirator’: Advocate Opens up after Allahabad HC Quashes FIR - Taxscan,‘Filing GST Appeal using ITC for Pre-Deposit Cannot Make Advocate a Conspirator’: Advocate Opens up after Allahabad HC Quashes FIR  Taxscan,2026-06-02 06:18:30,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,ITC Ltd. Downgraded to Sell by MarketsMOJO Amidst Weak Technicals and Flat Financials - Markets Mojo,ITC Ltd. Downgraded to Sell by MarketsMOJO Amidst Weak Technicals and Flat Financials  Markets Mojo,2026-06-02 04:20:22,,0.0,0.167,0.833,-0.7003,Negative
GoogleNews,"ITC Shares Reach 52-Week Low; Down Over 23% In 2026 — Should You Buy, Sell Or Hold? - NDTV Profit","ITC Shares Reach 52-Week Low; Down Over 23% In 2026 — Should You Buy, Sell Or Hold?  NDTV Profit",2026-06-02 04:16:38,,0.266,0.088,0.646,0.7622,Positive
GoogleNews,ITC Share Price Live Updates: ITC's Volume Metrics - The Economic Times,ITC Share Price Live Updates: ITC's Volume Metrics  The Economic Times,2026-06-02 03:46:43,,0.173,0.0,0.827,0.5267,Positive
GoogleNews,ITC Ltd. Technical Momentum Shifts Amid Bearish Sentiment - Markets Mojo,ITC Ltd. Technical Momentum Shifts Amid Bearish Sentiment  Markets Mojo,2026-06-02 03:40:38,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,ITC To Review Ruling That Ended Juul Vape Patent For Njoy - Law360,ITC To Review Ruling That Ended Juul Vape Patent For Njoy  Law360,2026-06-02 00:54:00,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,ITC Hotels sign new property in Guwahati - BigInfo.in,ITC Hotels sign new property in Guwahati  BigInfo.in,2026-06-01 19:41:59,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,Juul Gets ITC to Review Early Ruling That Nixed Vape Patent - Bloomberg Law News,Juul Gets ITC to Review Early Ruling That Nixed Vape Patent  Bloomberg Law News,2026-06-01 14:44:00,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,ITC Share Price Highlights: ITC Stock Price History - The Economic Times,ITC Share Price Highlights: ITC Stock Price History  The Economic Times,2026-06-01 13:03:27,,0.173,0.0,0.827,0.5267,Positive
GoogleNews,Escape Mode: Members' Edition — ITC Royal Bengal & ITC Sonar - HospiBuz,Escape Mode: Members' Edition — ITC Royal Bengal & ITC Sonar  HospiBuz,2026-06-01 11:02:05,,0.129,0.0,0.871,0.34,Positive
