source,title,description,published_at,url,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_compound,sentiment_label
GoogleNews,KEC International Ltd is Rated Sell - Markets Mojo,KEC International Ltd is Rated Sell  Markets Mojo,2026-05-31 04:41:12,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,"Tech Query: Suzlon Energy, Karur Vysya Bank (KVB), Cello World, KEC International - What is the outlook? Where are these stocks headed? - BusinessLine","Tech Query: Suzlon Energy, Karur Vysya Bank (KVB), Cello World, KEC International - What is the outlook? Where are these stocks headed?  BusinessLine",2026-05-30 14:53:56,,0.103,0.0,0.897,0.6322,Positive
GoogleNews,"KEC International reports unexecuted order book of over Rs.40,000 crore - T&D India","KEC International reports unexecuted order book of over Rs.40,000 crore  T&D India",2026-05-29 06:45:01,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,KEC International to attend Citi India Conference 2026 on June 04 - scanx.trade,KEC International to attend Citi India Conference 2026 on June 04  scanx.trade,2026-05-28 22:21:47,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,KEC International Ltd is Rated Sell - Markets Mojo,KEC International Ltd is Rated Sell  Markets Mojo,2026-05-28 18:44:53,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,"KEC International Secures New Orders Worth INR 1,303 Crore - Energetica India Magazine","KEC International Secures New Orders Worth INR 1,303 Crore  Energetica India Magazine",2026-05-28 04:17:27,,0.286,0.0,0.714,0.7506,Positive
GoogleNews,"KEC International Secures New Orders Worth ₹1,303 Crore Across Key Infrastructure Segments - Machine Maker","KEC International Secures New Orders Worth ₹1,303 Crore Across Key Infrastructure Segments  Machine Maker",2026-05-27 23:12:50,,0.251,0.0,0.749,0.7506,Positive
GoogleNews,KEC International Ltd Valuation Shifts to Very Attractive Amid Market Pressure - Markets Mojo,KEC International Ltd Valuation Shifts to Very Attractive Amid Market Pressure  Markets Mojo,2026-05-27 21:12:09,,0.189,0.13,0.681,0.4563,Positive
GoogleNews,"KEC International secures orders worth ₹1,303 crore across key segments - scanx.trade","KEC International secures orders worth ₹1,303 crore across key segments  scanx.trade",2026-05-27 20:34:22,,0.307,0.0,0.693,0.7506,Positive
GoogleNews,Buy KEC International; target of Rs 630: Motilal Oswal - TradingView,Buy KEC International; target of Rs 630: Motilal Oswal  TradingView,2026-05-27 07:25:23,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,"KEC International shares jump over 2% as firm bags new orders worth ₹1,303 crore; all details here - Upstox","KEC International shares jump over 2% as firm bags new orders worth ₹1,303 crore; all details here  Upstox",2026-05-27 06:45:51,,0.199,0.0,0.801,0.7351,Positive
GoogleNews,"KEC International Outlook: Growth Seen, Margins Under Pressure - HDFC Sky","KEC International Outlook: Growth Seen, Margins Under Pressure  HDFC Sky",2026-05-27 06:31:38,,0.195,0.165,0.639,0.2023,Positive
GoogleNews,Accumulate KEC International Ltd For Target Rs.558 by Prabhudas Liladhar Capital Ltd - Investment Guru,Accumulate KEC International Ltd For Target Rs.558 by Prabhudas Liladhar Capital Ltd  Investment Guru,2026-05-27 06:31:19,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,"KEC International inches up on securing orders worth Rs 1,303 crore across various businesses - Investment Guru","KEC International inches up on securing orders worth Rs 1,303 crore across various businesses  Investment Guru",2026-05-27 06:30:47,,0.225,0.0,0.775,0.7506,Positive
GoogleNews,"KEC International bags orders worth Rs 1,300 cr in India, overseas - Daily Excelsior","KEC International bags orders worth Rs 1,300 cr in India, overseas  Daily Excelsior",2026-05-27 06:30:02,,0.238,0.0,0.762,0.6369,Positive
GoogleNews,"KEC International bags orders worth Rs 1,300 cr in India, overseas - The Economic Times","KEC International bags orders worth Rs 1,300 cr in India, overseas  The Economic Times",2026-05-27 06:01:30,,0.123,0.0,0.877,0.4215,Positive
