source,title,description,published_at,url,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_compound,sentiment_label
EconomicTimes_Markets,<![CDATA[Why Trideep Bhattacharya is betting on financials and energy despite global uncertainty]]>,"Indian equity markets face near-term pressure from the West Asia conflict. Corporate earnings remain resilient, though FY27 estimates may see modest downgrades. The June quarter is expected to be challenging. Financials are an attractive sector with accelerating credit growth. Long-term opportunities lie in capital goods, renewable energy, and energy transition themes.",2026-06-02 14:30:36,,0.27,0.058,0.672,0.925,Positive
EconomicTimes_TopStories,"<![CDATA[Metals rally largely priced in, limited upside seen after strong cyclical run: Sandip Sabharwal]]>","Market expert Sandip Sabharwal advises caution, seeing stock-specific chances but limited broad market conviction. He notes Wockhardt's approval offers innovation value but is largely priced in. IT stocks are trading plays with potential rebounds, while autos show resilience. Metals face limited upside, and macro risks loom over largecaps like ICICI Bank and L&T.",2026-06-02 14:14:19,,0.234,0.129,0.637,0.8777,Positive
EconomicTimes_Markets,"<![CDATA[Metals rally largely priced in, limited upside seen after strong cyclical run: Sandip Sabharwal]]>","Market expert Sandip Sabharwal advises caution, seeing stock-specific chances but limited broad market conviction. He notes Wockhardt's approval offers innovation value but is largely priced in. IT stocks are trading plays with potential rebounds, while autos show resilience. Metals face limited upside, and macro risks loom over largecaps like ICICI Bank and L&T.",2026-06-02 14:14:19,,0.234,0.129,0.637,0.8777,Positive
LiveMint_Markets,<![CDATA[Anthropic IPO: AI giant's $965 billion valuation faces market test; experts decode]]>,"AI company Anthropic has confidentially filed for an IPO in the US, marking a significant moment for the AI industry. The move tests if investor enthusiasm can sustain in public markets, potentially establishing valuation benchmarks amid a resurgence in IPO activity.",2026-06-02 14:12:40,,0.089,0.0,0.911,0.6114,Positive
LiveMint_Markets,"<![CDATA[Vadodara eyes India’s first public blue municipal bond issue, plans  ₹200 crore fundraising]]>","Gujarat’s Vadodara Municipal Corporation aims to raise up to  ₹200 crore through a public blue bond issue for water-management projects, potentially becoming the first issuer to bring the sustainable-finance instrument to the Indian market.",2026-06-02 13:49:08,,0.0,0.0,1.0,0.0,Neutral
LiveMint_News,"<![CDATA[TMC protest in Bengal LIVE: ‘I will sit wherever I am stopped,’ says Mamata Banerjee as police denies permission]]>",Dozens of traders and hawkers have protested and blocked railway tracks at at Gobardanga Railway Station in West Bengal's North 24 Parganas district against eviction drive to root out encroachers.,2026-06-02 13:17:30,,0.0,0.21,0.79,-0.8655,Negative
EconomicTimes_Markets,<![CDATA[Global Markets: European stocks rise as STMicroelectronics' forecasts lift tech stocks]]>,"European shares climbed Tuesday, led by technology stocks boosted by strong forecasts from STMicroelectronics amid AI demand. Investors await key inflation data for insights into the Mideast conflict's economic impact. A partial ceasefire in Lebanon and easing crude prices also supported market sentiment.",2026-06-02 13:12:12,,0.215,0.08,0.706,0.7777,Positive
EconomicTimes_Markets,"<![CDATA[Nifty at 25,900 by March 2027? Nomura cites key catalysts to watch out for]]>","Indian stocks have seen a sharp fall. Nomura predicts the Nifty will climb almost 11% to reach 25,900 by March 2027. This optimism stems from hopes of a West Asia conflict resolution and a strong AI theme. Despite recent selling by foreign investors, Indian equities have shown resilience. Nomura favors exporters, financials, and IT services, while remaining cautious on consumption.",2026-06-02 13:09:43,,0.177,0.057,0.767,0.9072,Positive
LiveMint_News,"<![CDATA[Quote of the day by Muhammad Ali: 'To be a great champion, you must believe you are the best']]>","Quote of the day by Muhammad Ali, “To be a great champion, you must believe you are the best,” reflects the mindset he consistently expressed throughout his boxing career — confidence, self‑belief, and determination were central to his philosophy and public persona.",2026-06-02 13:04:09,,0.329,0.0,0.671,0.9808,Positive
EconomicTimes_Markets,"<![CDATA[RBI may have sold gold to save foreign reserves, BE report shows]]>","The RBI may have sold about $12 billion worth of gold reserves in the two weeks through May 22 to protect its foreign-currency assets amid capital outflows and rising oil prices, according to Bloomberg Economics. The move suggests policymakers are prioritising liquid forex reserves as Middle East tensions pressure the rupee.",2026-06-02 12:47:25,,0.135,0.068,0.796,0.5848,Positive
EconomicTimes_Markets,<![CDATA[Chinese humanoids are one step closer to IPOs]]>,"China’s robotics sector is gearing up for a wave of IPOs as the country positions itself at the forefront of the next phase of AI. Unitree Robotics has secured approval for a Shanghai listing, while dozens of robotics firms are preparing to go public. Analysts expect IPO proceeds to accelerate R&D and support China’s push for leadership in humanoid robotics and physical AI.",2026-06-02 11:34:34,,0.114,0.0,0.886,0.8313,Positive
EconomicTimes_TopStories,"<![CDATA[NHPC shares tumble 5% as govt’s OFS worth up to Rs 4,300 crore opens at 8% discount. Check details]]>",NHPC Share Price: NHPC shares saw a significant drop of nearly 5 percent. This decline followed the government's launch of an offer for sale. The government plans to divest up to a 6 percent stake in the public sector undertaking. The offer opened for non-retail investors on Tuesday. The floor price was set at Rs 71 per share.,2026-06-02 11:31:21,,0.151,0.025,0.825,0.8268,Positive
EconomicTimes_Markets,"<![CDATA[NHPC shares tumble 5% as govt’s OFS worth up to Rs 4,300 crore opens at 8% discount. Check details]]>",NHPC Share Price: NHPC shares saw a significant drop of nearly 5 percent. This decline followed the government's launch of an offer for sale. The government plans to divest up to a 6 percent stake in the public sector undertaking. The offer opened for non-retail investors on Tuesday. The floor price was set at Rs 71 per share.,2026-06-02 11:31:21,,0.151,0.025,0.825,0.8268,Positive
EconomicTimes_Markets,<![CDATA[Indian bonds steady as U.S.-Iran tensions linger; RBI policy review due Friday]]>,"Indian government bonds saw little movement early Tuesday. Investors are adopting a cautious stance ahead of the Reserve Bank of India's policy decision later this week. Lingering U.S.-Iran tensions and upcoming state and central government bond sales are also keeping traders on the sidelines, leading to shallow trading volumes.",2026-06-02 10:23:38,,0.0,0.109,0.891,-0.7263,Negative
EconomicTimes_Markets,<![CDATA['India is on the wrong side of the AI trade': Emkay's Nirav Sheth sounds the alarm]]>,"India is on the wrong side of the AI trade, warns Nirav Sheth. Foreign investors are chasing AI growth abroad, impacting Indian markets. Investors should focus on companies with 20% earnings growth. IT sector faces headwinds, not a temporary slowdown. Geopolitical risks and rupee depreciation add to macro concerns. Policy changes are needed for durable capital inflows.",2026-06-02 10:15:07,,0.062,0.148,0.79,-0.7345,Negative
LiveMint_Markets,"<![CDATA[Stocks to buy: Sagar Doshi suggests Cyient, Timken India, JBM Auto shares to buy]]>","Indian equity markets opened lower on June 2, with the Nifty 50 down 0.66% and the Sensex falling 0.43%. Concerns over the Middle East conflict and foreign investor selling contributed to the decline, with significant losses in major sectoral indices and the broader market.",2026-06-02 09:54:33,,0.1,0.136,0.764,-0.3382,Negative
