source,title,description,published_at,url,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_compound,sentiment_label
GoogleNews,"RCB vs GT IPL 2026 Final Playing 11 Today Match: Royal Challengers Bengaluru vs Gujarat Titans Predicted XI, Squad & Players List - The Indian Express","RCB vs GT IPL 2026 Final Playing 11 Today Match: Royal Challengers Bengaluru vs Gujarat Titans Predicted XI, Squad & Players List  The Indian Express",2026-05-31 04:30:14,,0.211,0.0,0.789,0.8429,Positive
GoogleNews,Storm delays Gujarat Titans’ arrival for IPL final against RCB in Ahmedabad - The News Mill,Storm delays Gujarat Titans’ arrival for IPL final against RCB in Ahmedabad  The News Mill,2026-05-31 03:47:46,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,"RCB vs GT, Final, Indian Premier League 2026 - Commentary - Cricbuzz","RCB vs GT, Final, Indian Premier League 2026 - Commentary  Cricbuzz",2026-05-31 03:05:13,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,"RCB vs GT, IPL 2026 Final: Royal Challengers Bengaluru, Gujarat Titans predicted lineups, playing XIIs - Sportstar","RCB vs GT, IPL 2026 Final: Royal Challengers Bengaluru, Gujarat Titans predicted lineups, playing XIIs  Sportstar",2026-05-31 03:03:45,,0.181,0.0,0.819,0.5267,Positive
GoogleNews,"Titans take on champions: Shubman Gill, Rajat Patidar chase legacy as GT and RCB eye 2nd IPL crown - The Times of India","Titans take on champions: Shubman Gill, Rajat Patidar chase legacy as GT and RCB eye 2nd IPL crown  The Times of India",2026-05-31 03:03:00,,0.233,0.0,0.767,0.9094,Positive
GoogleNews,Highlights: Gujarat Titans vs Royal Challengers Bengaluru | TATA IPL 2026 - Cricbuzz,Highlights: Gujarat Titans vs Royal Challengers Bengaluru | TATA IPL 2026  Cricbuzz,2026-05-31 02:53:11,,0.109,0.0,0.891,0.2023,Positive
GoogleNews,"RCB vs GT, IPL 2026 Final: Royal Challengers Bengaluru vs Gujarat Titans head-to-head record; Overall stats - most runs, wickets - Sportstar","RCB vs GT, IPL 2026 Final: Royal Challengers Bengaluru vs Gujarat Titans head-to-head record; Overall stats - most runs, wickets  Sportstar",2026-05-31 02:15:53,,0.064,0.0,0.936,0.2023,Positive
GoogleNews,RCB vs GT IPL 2026 Final Live Streaming Info: When and where to watch Royal Challengers Bengaluru vs Gujarat Titans Final - Sportstar,RCB vs GT IPL 2026 Final Live Streaming Info: When and where to watch Royal Challengers Bengaluru vs Gujarat Titans Final  Sportstar,2026-05-31 02:10:50,,0.171,0.0,0.829,0.7555,Positive
GoogleNews,IPL 2026 Final | The titans of Gujarat: Shubman Gill and Sai Sudharsan - The Times of India,IPL 2026 Final | The titans of Gujarat: Shubman Gill and Sai Sudharsan  The Times of India,2026-05-31 01:27:00,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,"Monmouth-Roseville Titan Baseball Claims Second Regional Title in Consolidation History - Radio Monmouth, IL","Monmouth-Roseville Titan Baseball Claims Second Regional Title in Consolidation History  Radio Monmouth, IL",2026-05-30 21:24:00,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,Gujarat Titans face storm delay ahead of IPL 2026 final against RCB in Ahmedabad - Mint,Gujarat Titans face storm delay ahead of IPL 2026 final against RCB in Ahmedabad  Mint,2026-05-30 19:49:11,,0.0,0.137,0.863,-0.5574,Negative
GoogleNews,Gujarat Titans’ Arrival in Ahmedabad Delayed Due to Storm Ahead of IPL 2026 Final - The CSR Journal,Gujarat Titans’ Arrival in Ahmedabad Delayed Due to Storm Ahead of IPL 2026 Final  The CSR Journal,2026-05-30 19:47:47,,0.0,0.103,0.897,-0.4215,Negative
GoogleNews,IPL 2026: Titans of opening partnership - The New Indian Express,IPL 2026: Titans of opening partnership  The New Indian Express,2026-05-30 17:57:20,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,Storm delays Gujarat Titans' arrival in Ahmedabad for IPL final - ESPNcricinfo,Storm delays Gujarat Titans' arrival in Ahmedabad for IPL final  ESPNcricinfo,2026-05-30 17:52:13,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,IPL 2026 Final — Bad weather delays Gujarat Titans’ arrival in Ahmedabad - Sportstar,IPL 2026 Final — Bad weather delays Gujarat Titans’ arrival in Ahmedabad  Sportstar,2026-05-30 16:40:44,,0.0,0.219,0.781,-0.7906,Negative
GoogleNews,Crisis Hits Gujarat Titans Camp Hours Ahead Of IPL 2026 Final. Team Yet To Reach Ahmedabad - NDTV Sports,Crisis Hits Gujarat Titans Camp Hours Ahead Of IPL 2026 Final. Team Yet To Reach Ahmedabad  NDTV Sports,2026-05-30 16:36:47,,0.051,0.189,0.76,-0.8402,Negative
GoogleNews,"Titan Securities FY26 profit rises, CFO resigns - scanx.trade","Titan Securities FY26 profit rises, CFO resigns  scanx.trade",2026-05-30 15:43:50,,0.395,0.178,0.426,0.6808,Positive
GoogleNews,Gujarat Titans eye second IPL crown after roller-coaster ride to the final - The Economic Times,Gujarat Titans eye second IPL crown after roller-coaster ride to the final  The Economic Times,2026-05-30 15:43:47,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,Gujarat Titans reach IPL 2026 final after defeat of Rajasthan Royals - The News Mill,Gujarat Titans reach IPL 2026 final after defeat of Rajasthan Royals  The News Mill,2026-05-30 15:42:32,,0.066,0.181,0.753,-0.7003,Negative
GoogleNews,"IPL 2026 Final, RCB vs GT: Gujarat Titans captain Shubman Gill pre-match press conference - India Today - India Today","IPL 2026 Final, RCB vs GT: Gujarat Titans captain Shubman Gill pre-match press conference - India Today  India Today",2026-05-30 15:00:55,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,Gujarat Titans road to IPL 2026 finals - Moneycontrol.com,Gujarat Titans road to IPL 2026 finals  Moneycontrol.com,2026-05-30 14:58:34,,0.0,0.0,1.0,0.0,Neutral
