source,title,description,published_at,url,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_compound,sentiment_label
GoogleNews,BharatPe launches credit-on-UPI facility in partnership with YES Bank - CNBC TV18,BharatPe launches credit-on-UPI facility in partnership with YES Bank  CNBC TV18,2026-06-02 08:06:04,,0.246,0.0,0.754,0.7824,Positive
GoogleNews,BharatPe Launches ‘Flex’ Credit-on-UPI Solution with YES BANK - APAC Media,BharatPe Launches ‘Flex’ Credit-on-UPI Solution with YES BANK  APAC Media,2026-06-02 07:53:52,,0.403,0.0,0.597,0.8877,Positive
GoogleNews,"BharatPe launches BharatPe Flex, a Credit-on-UPI solution powered by YES BANK - BusinessLine","BharatPe launches BharatPe Flex, a Credit-on-UPI solution powered by YES BANK  BusinessLine",2026-06-02 06:14:30,,0.353,0.0,0.647,0.8877,Positive
GoogleNews,Yes Bank Ltd. is Rated Hold by MarketsMOJO - Markets Mojo,Yes Bank Ltd. is Rated Hold by MarketsMOJO  Markets Mojo,2026-06-02 05:04:20,,0.221,0.0,0.779,0.6597,Positive
GoogleNews,Yes Bank meets investors at Goldman Sachs Asia Financials Corporate Day - scanx.trade,Yes Bank meets investors at Goldman Sachs Asia Financials Corporate Day  scanx.trade,2026-06-01 20:20:02,,0.19,0.0,0.81,0.6597,Positive
GoogleNews,Yes Bank Ltd. Sees Exceptional Volume Surge Amid Positive Momentum - Markets Mojo,Yes Bank Ltd. Sees Exceptional Volume Surge Amid Positive Momentum  Markets Mojo,2026-06-01 04:30:33,,0.375,0.0,0.625,0.9118,Positive
GoogleNews,YES Bank executive Ajay Rajan resigns after 8.5 years - scanx.trade,YES Bank executive Ajay Rajan resigns after 8.5 years  scanx.trade,2026-05-31 13:40:29,,0.241,0.162,0.597,0.505,Positive
GoogleNews,Market Trading Guide: YES Bank among two stock picks for Monday with up to 10% upside scope - The Economic Times,Market Trading Guide: YES Bank among two stock picks for Monday with up to 10% upside scope  The Economic Times,2026-05-31 09:33:08,,0.15,0.0,0.85,0.7824,Positive
GoogleNews,"FD Rates For Senior Citizens Hit 8.25%: Compare Rates From SBI, HDFC, Yes Bank, Other Lenders - NDTV Profit","FD Rates For Senior Citizens Hit 8.25%: Compare Rates From SBI, HDFC, Yes Bank, Other Lenders  NDTV Profit",2026-05-29 08:15:21,,0.253,0.0,0.747,0.8807,Positive
GoogleNews,"YES BANK LIMITED Option Chain - Live YES BANK LIMITED Option Chain Data, OI & Price - Upstox","YES BANK LIMITED Option Chain - Live YES BANK LIMITED Option Chain Data, OI & Price  Upstox",2026-05-29 07:00:00,,0.268,0.205,0.527,0.6369,Positive
GoogleNews,Yes Bank Ltd. Sees Exceptional Volume Surge Amid Positive Momentum - Markets Mojo,Yes Bank Ltd. Sees Exceptional Volume Surge Amid Positive Momentum  Markets Mojo,2026-05-29 04:39:34,,0.375,0.0,0.625,0.9118,Positive
GoogleNews,"Banks open or closed today? SBI, PNB, Yes Bank and other banks shut for Bakrid/Eid al-Adha; Check full RBI... - Moneycontrol.com","Banks open or closed today? SBI, PNB, Yes Bank and other banks shut for Bakrid/Eid al-Adha; Check full RBI...  Moneycontrol.com",2026-05-27 02:55:04,,0.129,0.0,0.871,0.6966,Positive
GoogleNews,Drip Capital Partners with YES BANK to Strengthen Trade Finance Access for MSMEs - CXOToday.com,Drip Capital Partners with YES BANK to Strengthen Trade Finance Access for MSMEs  CXOToday.com,2026-05-26 12:16:12,,0.314,0.0,0.686,0.8877,Positive
